timestamp,in_time_frame,current_dem_target,action,mode,hot_prod,cold_prod,hot_dem,cold_dem
2025-11-24 17:02:03,True,22079782.762034785,yes,hot,1742835.57,471845.85,0,0
2025-11-24 17:02:14,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:02:24,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:02:35,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:02:45,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:02:56,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:03:06,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:03:17,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:03:27,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:03:37,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:03:48,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:03:58,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:04:09,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:04:19,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:04:30,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:04:40,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:04:51,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:05:01,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:05:12,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:05:22,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:05:33,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:05:43,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:05:53,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:06:04,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:06:14,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:06:25,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:06:35,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:06:46,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:06:56,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:07:07,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:07:17,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:07:28,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:07:39,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:07:50,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:08:01,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:08:13,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:08:24,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:08:35,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:08:46,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:08:57,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:09:09,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:09:20,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:09:31,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:09:42,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:09:53,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:10:04,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:10:16,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:10:27,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:10:38,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:10:49,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:11:00,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:11:11,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:11:23,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:11:34,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:11:45,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:11:56,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:12:07,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:12:18,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:12:29,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:12:40,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:12:51,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:13:02,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:13:13,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:13:24,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:13:35,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:13:46,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:13:57,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:14:09,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:14:20,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
2025-11-24 17:14:31,True,22079782.762034785,no,hot,1742835.57,471845.85,0,0
