temperature,humidity,pressure,solar_rad,ir_rad,v_wind,day_sin,day_cos,hour_sin,hour_cos,weekday_sin,weekday_cos,year_sin,year_cos
15.2,56.0,99232.0,12236.0,1400,56,0.258819045102521,-0.9659258262890682,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
17.2,48.0,99231.0,12656.0,1400,48,-3.216245299353273e-16,-1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
18.8,42.0,99231.0,11772.0,1400,42,-0.2588190451025208,-0.9659258262890683,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
19.8,42.0,99230.0,16094.0,1400,42,-0.5000000000000001,-0.8660254037844386,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
20.3,45.0,99230.0,15520.0,1400,45,-0.7071067811865475,-0.7071067811865477,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
19.9,46.0,99230.0,14361.0,1400,46,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
18.8,47.0,99229.0,9017.0,1400,47,-0.9659258262890681,-0.2588190451025215,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
17.4,52.0,99229.0,150.0,1400,52,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
16.9,60.0,99228.0,0.0,0,60,-0.9659258262890684,0.2588190451025203,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
16.4,60.0,99228.0,0.0,0,60,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
15.8,66.0,99228.0,0.0,0,66,-0.7071067811865477,0.7071067811865474,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
15.3,66.0,99227.0,0.0,0,66,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
14.8,67.0,99227.0,0.0,0,67,-0.2588190451025207,0.9659258262890683,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-0.6250496486104377,0.7805849965070866
14.3,70.0,99226.0,0.0,0,70,0.0,1.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.6115298757991053,0.7912213413483807
13.8,67.0,99226.0,0.0,0,67,0.25881904510252074,0.9659258262890683,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.6115298757991053,0.7912213413483807
